Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
grief	problem	7	7	TBD
degeneration	injury	3	3	TBD
poor_education	poverty	5	5	TBD
low_testosterone	condition	3	3	TBD
abscess	fistula	2	2	TBD
lawlessness	chaos	3	3	TBD
obstruction	inflammation	4	4	TBD
confusion	misconception	3	3	TBD
action	fire	5	5	TBD
loss	reaction	3	3	TBD
symptom	nausea	8	8	TBD
glaucoma	elevated_intraocular_pressure	8	8	TBD
polycystic_ovarian_syndrome	insulin_resistance	9	9	TBD
oxidative_stress	generation_of_reactive_oxygen_specie	2	2	TBD
condition	thrombosis	3	3	TBD
failure	complication	5	5	TBD
emotional_issue	stress	3	3	TBD
problem	chronic_insomnia	2	2	TBD
depression	negative_effect	8	8	TBD
inflation	artificially_low_interest_rate	7	7	TBD
acne	skin_inflammation	6	6	TBD
inflammation_of_the_bronchial_tube	asthma	2	2	TBD
soil	erosion	2	2	TBD
problem	exploitation	5	5	TBD
inflammation	obstruction	4	4	TBD
technology	industrial_revolution	4	4	TBD
light	darkness	6	6	TBD
pain	scarring	8	8	TBD
failure	infection	3	3	TBD
generation_of_reactive_oxygen_specie	oxidative_stress	2	2	TBD
inconvenience	loss	3	3	TBD
conflict	negotiation	4	4	TBD
economic_crisis	unemployment	2	2	TBD
salvation	good_work	13	13	TBD
slavery	exploitation	2	2	TBD
injury	instability	7	7	TBD
controversy	ban	3	3	TBD
liver	complication	3	3	TBD
ulcer	problem	5	5	TBD
ed	feeling	3	3	TBD
kidney_disease	elevated_blood_pressure	10	10	TBD
seizure	hyperthermia	3	3	TBD
disease_state	mutation	4	4	TBD
hypertension	chronic_renal_failure	3	3	TBD
psoriasis	obesity	2	2	TBD
drug	abuse	5	5	TBD
action	speculation	2	2	TBD
good_work	salvation	13	13	TBD
chronic_cerebrospinal_venous_insufficiency	multiple_sclerosis	3	3	TBD
skin_inflammation	acne	6	6	TBD
insulin_resistance	polycystic_ovarian_syndrome	9	9	TBD
decline	weakness	2	2	TBD
chain_of_event	arrest	3	3	TBD
unrest	assassination	3	3	TBD
weight_loss	weakness	5	5	TBD
metabolic_alkalosis	hypokalemia	2	2	TBD
side_effect	diabetes	12	12	TBD
issue	accident	3	3	TBD
population_growth	economic_growth	14	14	TBD
infection	inflammation_of_the_skin	2	2	TBD
act	anger	4	4	TBD
pain	paralysis	4	4	TBD
depression	tension	11	11	TBD
vicious_cycle	depression	4	4	TBD
depression	deficit	6	6	TBD
artificially_low_interest_rate	inflation	7	7	TBD
understanding	empathy	4	4	TBD
problem	deformity	2	2	TBD
weak_bone	osteoporosis	7	7	TBD
problem	suicide	16	16	TBD
muscle	lactic_acid	5	5	TBD
weakness	fatigue	4	4	TBD
compound	reaction	2	2	TBD
violence	mental_health_problem	7	7	TBD
hypoxia	stroke	2	2	TBD
distress	drug_use	2	2	TBD
damage	aid	3	3	TBD
erosion	disturbance	6	6	TBD
autoimmune_disease	disease	3	3	TBD
alteration	injury	2	2	TBD
ceremony	death	4	4	TBD
removal	problem	6	6	TBD
price_going_up	inflation	3	3	TBD
health_benefit	laughter	3	3	TBD
war	pressure	2	2	TBD
controversy	war	2	2	TBD
cardiovascular_disease	damage	10	10	TBD
symptom	congestion	6	6	TBD
colpocephaly	periventricular_leukomalacia	1	1	TBD
malnutrition	persistent_diarrhoea	2	2	TBD
serious_condition	complication	3	3	TBD
tissue_injury	inflammation	3	3	TBD
pressure	war	2	2	TBD
civil_war	problem	11	11	TBD
big_bang	big_crunch	4	4	TBD
negative_effect	depression	8	8	TBD
vision_loss	problem	2	2	TBD
abdominal_injury	trauma	2	2	TBD
degeneration	cell_death	2	2	TBD
thrombosis	condition	3	3	TBD
magnesium_deficiency	illness	3	3	TBD
rain	condensation	3	3	TBD
stress	emotional_issue	3	3	TBD
substance_abuse	criminal_behaviour	3	3	TBD
abuse	drug	5	5	TBD
constipation	flatulence	3	3	TBD
vitamin_b12_deficiency	problem	6	6	TBD
anger	tension	5	5	TBD
fear	loss	2	2	TBD
dehydration	side_effect	4	4	TBD
expansion	explosion	4	4	TBD
fracture	spinal_cord_injury	2	2	TBD
inflammation	tissue_injury	3	3	TBD
stress	negative_energy	4	4	TBD
physical_damage	fire	2	2	TBD
infection	tb	4	4	TBD
kidney_failure	low_blood_pressure	2	2	TBD
frustration	fear	4	4	TBD
increased_risk	increase	4	4	TBD
change	adjustment	2	2	TBD
negative_energy	stress	4	4	TBD
cancer	pcb_’_s	4	4	TBD
disease	cell_death	5	5	TBD
condition	coronary_artery_disease	4	4	TBD
chaos	lawlessness	3	3	TBD
displacement	problem	3	3	TBD
death	tear	8	8	TBD
problem	staining	2	2	TBD
attention	success	7	7	TBD
cirrhosis	deficiency	2	2	TBD
condition	worry	2	2	TBD
pathology	change	2	2	TBD
loss	inconvenience	3	3	TBD
poison	cancer	15	15	TBD
mental_health_issue	discrimination	2	2	TBD
cramp	sweating	2	2	TBD
disease	hopelessness	2	2	TBD
domestic_violence	unemployment	3	3	TBD
life	condition	3	3	TBD
infection	defect	3	3	TBD
congestion	symptom	6	6	TBD
wwii	event	2	2	TBD
condensation	rain	3	3	TBD
injury	rehabilitation	2	2	TBD
dehydration	overheating	2	2	TBD
failure	inefficiency	4	4	TBD
expansion	inflation	2	2	TBD
weakness	strength	4	4	TBD
death	speculation	4	4	TBD
cooling	expansion	5	5	TBD
problem	fever	6	6	TBD
psychological_problem	problem	2	2	TBD
heart_problem	shock	2	2	TBD
anxiety	phobia	10	10	TBD
tissue_damage	activation	2	2	TBD
sweating	cramp	2	2	TBD
narrowing	condition	7	7	TBD
resentment	anxiety	2	2	TBD
alzheimer_’_s_disease	damage	3	3	TBD
lactic_acid	muscle	5	5	TBD
insulin_resistance	excess_insulin	4	4	TBD
chronic_renal_failure	hypertension	3	3	TBD
tension	cold_war	3	3	TBD
industrial_revolution	technological_advance	3	3	TBD
persistent_diarrhoea	malnutrition	2	2	TBD
unemployment	economic_crisis	2	2	TBD
pathogenesis	oxidative_stress	2	2	TBD
personal_injury	stress	3	3	TBD
sepsis	hypoglycemia	2	2	TBD
insomnia	restlessness	5	5	TBD
invention	innovation	5	5	TBD
optic_neuritis	inflammation	2	2	TBD
psoriasis	infection	7	7	TBD
accident	issue	3	3	TBD
poverty	vice	5	5	TBD
complication	liver	3	3	TBD
event	energy	2	2	TBD
congestive_heart_failure	pneumonia	4	4	TBD
disturbance	erosion	6	6	TBD
excess_weight	medical_condition	3	3	TBD
tension	depression	11	11	TBD
condition	nystagmus	9	9	TBD
breast_cancer	breast_pain	3	3	TBD
strength	weakness	4	4	TBD
limb_amputation	blindness	2	2	TBD
weakness	decline	2	2	TBD
reaction	compound	2	2	TBD
fragmentation	conflict	3	3	TBD
discovery	collaboration	8	8	TBD
conflict	instability	5	5	TBD
destruction	climate_change	8	8	TBD
stroke	disorder	16	16	TBD
injury	alteration	2	2	TBD
drug_use	distress	2	2	TBD
suicide	problem	16	16	TBD
confusion	tension	5	5	TBD
disease	physical_condition	2	2	TBD
dispute	problem	3	3	TBD
asthma	inflammation_of_the_bronchial_tube	2	2	TBD
depression	inflammatory_bowel_disease	3	3	TBD
crisis	complication	2	2	TBD
aid	damage	3	3	TBD
arrest	chain_of_event	3	3	TBD
side_effect	dehydration	4	4	TBD
overheating	dehydration	2	2	TBD
death	debt	2	2	TBD
cancer	material	17	17	TBD
bullying	low_self-esteem	8	8	TBD
inefficiency	failure	4	4	TBD
difference	bias	3	3	TBD
staining	problem	2	2	TBD
cell_death	disease	5	5	TBD
deficiency	cirrhosis	2	2	TBD
nystagmus	condition	9	9	TBD
sunburn	inflammation	4	4	TBD
low_blood_pressure	kidney_failure	2	2	TBD
malnutrition	ignorance	2	2	TBD
liver_damage	inflammation	3	3	TBD
urinary_tract_infection	kidney_stone	2	2	TBD
hypokalemia	metabolic_alkalosis	2	2	TBD
joint_pain	anxiety	2	2	TBD
action	anxiety	8	8	TBD
reaction	loss	3	3	TBD
mental_illness	drug_abuse	171	171	TBD
discrimination	mental_health_issue	2	2	TBD
hopelessness	disease	2	2	TBD
