Source	Target	Comment
feeling	feeling	reflxive edge
weakness	weakness	reflxive edge
anemia	anemia	reflxive edge
asthma	asthma	reflxive edge
symptom	symptom	reflxive edge
success	success	reflxive edge
faith	faith	reflxive edge
disaster	disaster	reflxive edge
tension	tension	reflxive edge
net_loss	net_loss	reflxive edge
anxiety	anxiety	reflxive edge
mistake	mistake	reflxive edge
crisis	crisis	reflxive edge
mental_illness	mental_illness	reflxive edge
election	election	reflxive edge
action	action	reflxive edge
hazard	hazard	reflxive edge
fall	fall	reflxive edge
animal	animal	reflxive edge
heart_attack	heart_attack	reflxive edge
attack	attack	reflxive edge
aggression	aggression	reflxive edge
inflation	inflation	reflxive edge
cut	cut	reflxive edge
heavy_rain	heavy_rain	reflxive edge
breakdown	breakdown	reflxive edge
accident	accident	reflxive edge
irritation	irritation	reflxive edge
ignorance	ignorance	reflxive edge
birth_defect	birth_defect	reflxive edge
cost	cost	reflxive edge
adverse_event	adverse_event	reflxive edge
malnutrition	malnutrition	reflxive edge
injury	injury	reflxive edge
smoking	smoking	reflxive edge
explosion	explosion	reflxive edge
odor	odor	reflxive edge
global_warming	global_warming	reflxive edge
depression	depression	reflxive edge
hypertension	hypertension	reflxive edge
contraction	contraction	reflxive edge
constipation	constipation	reflxive edge
decrease	decrease	reflxive edge
corruption	corruption	reflxive edge
higher_price	higher_price	reflxive edge
fire	fire	reflxive edge
heat	heat	reflxive edge
disorder	disorder	reflxive edge
rheumatoid_arthritis	rheumatoid_arthritis	reflxive edge
defect	defect	reflxive edge
gene	gene	reflxive edge
fever	fever	reflxive edge
bad_decision	bad_decision	reflxive edge
poisoning	poisoning	reflxive edge
infection	infection	reflxive edge
scandal	scandal	reflxive edge
abortion	abortion	reflxive edge
hemorrhoid	hemorrhoid	reflxive edge
sensation	sensation	reflxive edge
emotion	emotion	reflxive edge
death	death	reflxive edge
tuberculosis	tuberculosis	reflxive edge
war	war	reflxive edge
issue	issue	reflxive edge
lung_cancer	lung_cancer	reflxive edge
memory	memory	reflxive edge
trouble	trouble	reflxive edge
flu	flu	reflxive edge
drinking	drinking	reflxive edge
outrage	outrage	reflxive edge
bloodshed	bloodshed	reflxive edge
strain	strain	reflxive edge
change	change	reflxive edge
complication	complication	reflxive edge
starvation	starvation	reflxive edge
vaccine	vaccine	reflxive edge
imbalance	imbalance	reflxive edge
scar	scar	reflxive edge
error_message	error_message	reflxive edge
delirium	delirium	reflxive edge
free_radical	free_radical	reflxive edge
unemployment	unemployment	reflxive edge
sin	sin	reflxive edge
arrest	arrest	reflxive edge
error	error	reflxive edge
racism	racism	reflxive edge
inactivity	inactivity	reflxive edge
health_problem	health_problem	reflxive edge
bipolar_disorder	bipolar_disorder	reflxive edge
poverty	poverty	reflxive edge
blood	blood	reflxive edge
dizziness	dizziness	reflxive edge
bacteria	bacteria	reflxive edge
pain	pain	reflxive edge
disability	disability	reflxive edge
smoke	smoke	reflxive edge
illness	illness	reflxive edge
virus	virus	reflxive edge
nausea	nausea	reflxive edge
delay	delay	reflxive edge
deficiency	deficiency	reflxive edge
weight_loss	weight_loss	reflxive edge
procrastination	procrastination	reflxive edge
higher_mortality	higher_mortality	reflxive edge
tragedy	tragedy	reflxive edge
arthritis	arthritis	reflxive edge
belief	belief	reflxive edge
tsunami	tsunami	reflxive edge
disease	disease	reflxive edge
exposure	exposure	reflxive edge
event	event	reflxive edge
cancellation	cancellation	reflxive edge
myth	myth	reflxive edge
headache	headache	reflxive edge
conflict	conflict	reflxive edge
tissue_damage	tissue_damage	reflxive edge
high_fever	high_fever	reflxive edge
suffering	suffering	reflxive edge
serious_injury	serious_injury	reflxive edge
productivity_loss	productivity_loss	reflxive edge
question	question	reflxive edge
chaos	chaos	reflxive edge
fatigue	fatigue	reflxive edge
trauma	trauma	reflxive edge
climate_change	climate_change	reflxive edge
cf	cf	reflxive edge
activity	activity	reflxive edge
salvation	salvation	reflxive edge
happiness	happiness	reflxive edge
immune_response	immune_response	reflxive edge
influenza	influenza	reflxive edge
alzheimer_'_s_disease	alzheimer_'_s_disease	reflxive edge
foreclosure	foreclosure	reflxive edge
concentration	concentration	reflxive edge
boredom	boredom	reflxive edge
high_rate	high_rate	reflxive edge
fraud	fraud	reflxive edge
fear	fear	reflxive edge
seizure	seizure	reflxive edge
frustration	frustration	reflxive edge
gain	gain	reflxive edge
autism	autism	reflxive edge
abuse	abuse	reflxive edge
addiction	addiction	reflxive edge
hearing_loss	hearing_loss	reflxive edge
insanity	insanity	reflxive edge
back_pain	back_pain	reflxive edge
evolution	evolution	reflxive edge
liver_disease	liver_disease	reflxive edge
alarm	alarm	reflxive edge
behaviour	behaviour	reflxive edge
increase	increase	reflxive edge
loss	loss	reflxive edge
effect	effect	reflxive edge
