Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
death	accident	9	2828	TBD
injury	accident	25	3039	TBD
fatality	accident	2	269	TBD
damage	accident	10	1393	TBD
disability	accident	2	259	TBD
personal_injury	accident	2	437	TBD
illness	accident	9	64	TBD
burn	accident	4	24	TBD
traffic	accident	2	19	TBD
impairment	accident	61	3	TBD
defect	accident	174	21	TBD
action	accident	41	4	TBD
water	accident	2	66	TBD
event	accident	73	6	TBD
situation	accident	28	5	TBD
hazard	accident	37	3	TBD
error	accident	46	4	TBD
medical_condition	accident	21	2	TBD
death	sadness	36	5	TBD
death	problem	23	197	TBD
resurrection	death	2	29	TBD
death	injury	88	2150	TBD
death	sin	22	1223	TBD
illness	death	1102	15	TBD
death	shock	15	288	TBD
death	stress	18	179	TBD
death	disease	25	2372	TBD
death	event	22	412	TBD
death	war	7	632	TBD
violence	death	432	10	TBD
death	civil_war	10	51	TBD
death	accident	9	2828	TBD
death	birth	10	77	TBD
death	complication	5	1335	TBD
bleeding	death	102	7	TBD
murder	death	200	3	TBD
death	pneumonia	9	1349	TBD
death	failure	14	330	TBD
fire	death	343	15	TBD
delay	death	82	6	TBD
death	trauma	19	244	TBD
death	fall	6	296	TBD
death	stroke	7	2045	TBD
death	heart_attack	5	1290	TBD
death	withdrawal	3	22	TBD
death	series_of_event	2	24	TBD
death	activity	3	67	TBD
death	god	3	49	TBD
death	wound	5	170	TBD
liability	death	12	2	TBD
death	adverse_effect	61	10	TBD
death	disability	4	42	TBD
death	vaccine	4	209	TBD
death	lethargy	2	11	TBD
death	infection	19	1157	TBD
death	smoking	12	1839	TBD
death	drug	5	614	TBD
birth_defect	death	56	9	TBD
death	respiratory_failure	6	502	TBD
death	heart_disease	2	2681	TBD
death	cardiac_arrest	4	317	TBD
death	curse	2	32	TBD
hemorrhage	death	173	3	TBD
death	poverty	3	55	TBD
death	cancer	8	2859	TBD
death	sex	2	21	TBD
disorder	death	166	2	TBD
death	abortion	2	128	TBD
death	serious_health_problem	2	55	TBD
chain_reaction	death	11	2	TBD
death	surprise	2	47	TBD
