Lemmatized	Original
complication	complications
injury	injuries
death	deaths
aid	aids
health_problem	health_problems
accident	accidents
disease	diseases
heavy_rain	heavy_rains
headache	headaches
infection	infections
problem	problems
symptom	symptoms
fracture	fractures
vaccine	vaccines
flood	floods
fatality	fatalities
greenhouse_gas	greenhouse_gasses
greenhouse_gas	greenhouse_gases
drought	droughts
change	changes
human_activity	human_activities
action	actions
ulcer	ulcers
mutation	mutations
virus	viruses
damage	damages
side_effect	side_effects
drug	drugs
extreme_weather_event	extreme_weather_events
rising_sea_level	rising_sea_levels
greenhouse_gas_emission	greenhouse_gas_emissions
wound	wounds
hemorrhoid	hemorrhoids
infectious_disease	infectious_diseases
event	events
heart_attack	heart_attacks
issue	issues
carbon_emission	carbon_emissions
burning_of_fossil_fuel	burning_of_fossil_fuels
blood_clot	blood_clots
tsunami	tsunamis
earthquake	earthquakes
serious_injury	serious_injuries
delay	delays
condition	conditions
toxin	toxins
allergy	allergies
illness	illnesses
nerve	nerves
hormonal_change	hormonal_changes
landslide	landslides
car_accident	car_accidents
medication	medications
chemical	chemicals
stroke	strokes
cataract	cataracts
heart_problem	heart_problems
attack	attacks
scar	scars
physical_symptom	physical_symptoms
stretch_mark	stretch_marks
pathogen	pathogens
human	humans
free_radical	free_radicals
fire	fires
storm	storms
cancer	cancers
burn	burns
war	wars
seizure	seizures
co2_emission	co2_emissions
emission	emissions
natural_cause	natural_causes
food_shortage	food_shortages
cardiovascular_disease	cardiovascular_diseases
blister	blisters
torrential_rain	torrential_rains
convulsion	convulsions
consequence	consequences
head_injury	head_injuries
hurricane	hurricanes
medical_error	medical_errors
birth_defect	birth_defects
personal_injury	personal_injuries
premature_death	premature_deaths
genital_wart	genital_warts
rain	rains
loss	losses
leak	leaks
panic_attack	panic_attacks
cramp	cramps
internal_injury	internal_injuries
suicidal_thought	suicidal_thoughts
act	acts
genetic_mutation	genetic_mutations
stomach_ulcer	stomach_ulcers
hormone	hormones
error	errors
migraine	migraines
emission_of_carbon_dioxide	emissions_of_carbon_dioxide
lower_price	lower_prices
natural_disaster	natural_disasters
shortage	shortages
price_control	price_controls
high_wind	high_winds
environmental_factor	environmental_factors
defective_product	defective_products
power_outage	power_outages
bone_fracture	bone_fractures
blockage	blockages
incident	incidents
technical_problem	technical_problems
carbon_dioxide_emission	carbon_dioxide_emissions
brain_tumor	brain_tumors
motor_vehicle_accident	motor_vehicle_accidents
joint	joints
amputation	amputations
gene	genes
serious_health_problem	serious_health_problems
sport	sports
medical_condition	medical_conditions
sin	sins
job_loss	job_losses
wrinkle	wrinkles
muscle_cramp	muscle_cramps
muscle	muscles
cigarette	cigarettes
gallstone	gallstones
chronic_disease	chronic_diseases
carcinogen	carcinogens
microorganism	microorganisms
explosion	explosions
adhesion	adhesions
strong_wind	strong_winds
mudslide	mudslides
effect	effects
traffic_accident	traffic_accidents
pesticide	pesticides
crash	crashes
vaccination	vaccinations
difference	differences
improvement	improvements
respiratory_problem	respiratory_problems
chain_of_event	chain_of_events
hallucination	hallucinations
germ	germs
protest	protests
ailment	ailments
severe_injury	severe_injuries
multiple_injury	multiple_injuries
health_issue	health_issues
water_shortage	water_shortages
hip_fracture	hip_fractures
fibroid	fibroids
medicine	medicines
collision	collisions
hive	hives
situation	situations
psychological_factor	psychological_factors
antibiotic	antibiotics
mistake	mistakes
ice_jam	ice_jams
emission_of_greenhouse_gas	emission_of_greenhouse_gases
emission_of_greenhouse_gas	emissions_of_greenhouse_gasses
emission_of_greenhouse_gas	emissions_of_greenhouse_gases
emission_of_greenhouse_gas	emission_of_greenhouse_gasses
conflict	conflicts
hot_flash	hot_flashes
tornado	tornados
tornado	tornadoes
opportunistic_infection	opportunistic_infections
infectious_agent	infectious_agents
dust_mite	dust_mites
crop_failure	crop_failures
hazard	hazards
urinary_tract_infection	urinary_tract_infections
casualty	casualties
unintentional_injury	unintentional_injuries
mercury_in_vaccine	mercury_in_vaccines
flash_flood	flash_floods
spasm	spasms
thought	thoughts
disaster	disasters
smoking_cigarette	smoking_cigarettes
poor_eating_habit	poor_eating_habits
tension_headache	tension_headaches
cold_sore	cold_sores
tumor	tumors
odor	odors
activity	activities
sinus_problem	sinus_problems
carbohydrate	carbohydrates
climate_change	climate_changes
antihistamine	antihistamines
food_allergy	food_allergies
low_serotonin_level	low_serotonin_levels
severe_side_effect	severe_side_effects
road_accident	road_accidents
disorder	disorders
nsaid	nsaids
night_sweat	night_sweats
complication_of_disease	complication_of_diseases
