Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
osteoarthritis	chronic_pain	38	2	TBD
economic_crisis	problem	14	4	TBD
car_accident	injury	401	9	TBD
malaria	anaemia	29	2	TBD
condition	liver_disease	44	3	TBD
asthma	symptom	148	7	TBD
oxidative_stress	cellular_damage	18	4	TBD
negative_feeling	stress	47	5	TBD
muscular_tension	headache	15	2	TBD
stress	anxiety	303	74	TBD
disease	lameness	327	6	TBD
change	confusion	125	3	TBD
chronic_pain	disability	41	2	TBD
gene	tumor	12	2	TBD
diarrhea	dehydration	565	12	TBD
stress	damage	443	9	TBD
infection	pelvic_inflammatory_disease	38	3	TBD
stress	hormonal_fluctuation	6	2	TBD
wind	change	10	3	TBD
condition	feeling	32	4	TBD
sore_throat	cough	7	2	TBD
carbon_dioxide	climate_change	59	5	TBD
adhd	behavior	70	2	TBD
autoimmune_disease	inflammation	61	15	TBD
head_injury	trauma	11	3	TBD
psoriasis	condition	20	3	TBD
habit	depression	8	2	TBD
condition	fluid_retention	17	3	TBD
side_effect	injury	130	4	TBD
inflammation	headache	57	4	TBD
psoriasis	dry_skin	15	2	TBD
economic_freedom	political_freedom	10	2	TBD
sinusitis	symptom	148	5	TBD
change	failure	36	3	TBD
smoking	mouth_cancer	17	3	TBD
malnutrition	damage	17	3	TBD
infection	stress	25	8	TBD
complication	problem	335	42	TBD
depression	feeling_of_sadness	32	8	TBD
high_blood_pressure	heart_attack	381	3	TBD
illness	suffering	94	9	TBD
premature_birth	complication	31	2	TBD
high_level	heart_disease	22	3	TBD
smoking	condition	70	9	TBD
corruption	problem	33	2	TBD
phytoplankton	red_tide	6	2	TBD
arthritis	problem	89	8	TBD
candida	symptom	34	2	TBD
condition	fever	39	10	TBD
disorder	abnormality	24	5	TBD
metabolic_syndrome	type_2_diabetes	20	3	TBD
drug	qt_prolongation	19	2	TBD
depression	chronic_insomnia	27	9	TBD
anxiety	eating_disorder	17	4	TBD
fear	tension	87	3	TBD
oxidation	inflammation	13	2	TBD
constipation	hard_stool	37	7	TBD
war	revolution	28	4	TBD
illness	absence	151	2	TBD
weakness	sin	42	9	TBD
defect	loss	19	3	TBD
stress	dizziness	10	3	TBD
global_warming	environmental_degradation	15	4	TBD
injury	concussion	24	3	TBD
alcohol_abuse	condition	11	2	TBD
stress	high_blood_pressure	240	20	TBD
dust_mite	allergy	65	20	TBD
antibody	disease	21	5	TBD
event	trigger	9	2	TBD
inactivity	boredom	9	2	TBD
climate_change	impact	34	2	TBD
water	damage	587	3	TBD
dehydration	cramping	12	2	TBD
behaviour	problem	61	11	TBD
stress	hormonal_change	35	5	TBD
cancer	syndrome	12	3	TBD
child_abuse	problem	26	5	TBD
power	strength	11	2	TBD
condition	kidney_failure	179	3	TBD
lesion	condition	15	3	TBD
error	problem	462	57	TBD
enthusiasm	success	12	4	TBD
illness	hair_loss	178	5	TBD
absence	depression	7	2	TBD
diabetes	serious_complication	161	2	TBD
side_effect	obesity	11	3	TBD
disease	osteoporosis	27	5	TBD
stress	burnout	191	5	TBD
stress	disorder	90	8	TBD
anxiety	insomnia	247	52	TBD
occupational_exposure	lung_cancer	9	3	TBD
suicide	loss	18	3	TBD
obsession	anxiety	117	6	TBD
poor_nutrition	disease	66	4	TBD
pesticide	cancer	140	31	TBD
brain_injury	seizure	20	4	TBD
high_blood_pressure	symptom	48	5	TBD
clear_thinking	clear_writing	10	3	TBD
infection	fever	360	5	TBD
virus	influenza	189	8	TBD
uncontrolled_cell_growth	cancer	33	5	TBD
medical_condition	pain	65	3	TBD
damage	cell_death	23	2	TBD
infection	genital_wart	52	3	TBD
smoking	problem	141	7	TBD
music	emotion	56	2	TBD
severe_thunderstorm	tornado	23	6	TBD
bacteria	skin_infection	133	5	TBD
neck_pain	headache	30	10	TBD
hormonal_imbalance	acne	179	9	TBD
tinnitus	irritation	74	4	TBD
stress	free_radical	47	6	TBD
allergen	allergy	51	2	TBD
high_blood_pressure	kidney_problem	17	3	TBD
discrepancy	confusion	19	2	TBD
injury	scarring	46	5	TBD
anxiety_disorder	symptom	97	10	TBD
pcbs	cancer	64	7	TBD
damage	cancer	267	45	TBD
error	frustration	14	2	TBD
misunderstanding	problem	85	3	TBD
infection	blindness	85	3	TBD
delay	death	82	6	TBD
event	situation	39	2	TBD
activity	fear	9	2	TBD
obesity	asthma	31	4	TBD
greenhouse_gas	climate_change	219	22	TBD
stress	stuttering	21	2	TBD
heart_trouble	illness	12	3	TBD
problem	distress	19	2	TBD
alcohol_abuse	problem	222	10	TBD
pain	suffering	53	12	TBD
malaria	anemia	160	5	TBD
stress	behaviour	9	3	TBD
bacteria	tetanus	79	2	TBD
observation	experiment	8	2	TBD
eczema	dry_skin	116	12	TBD
kidney	death	18	4	TBD
abnormality	cancer	15	5	TBD
pneumonia	heart_failure	7	1	TBD
drug	aid	37	2	TBD
stress	alcohol	16	3	TBD
medical_condition	tinnitus	29	6	TBD
shift	change	11	2	TBD
upset_stomach	symptom	31	6	TBD
disease	erectile_dysfunction	144	3	TBD
anxiety	migraine	50	4	TBD
anger	war	15	2	TBD
motion_sickness	nausea	208	3	TBD
identity_theft	fraud	8	2	TBD
litigation	uncertainty	13	3	TBD
flood	mudslide	6	2	TBD
air_pollution	climate_change	58	8	TBD
malaria	disease	25	5	TBD
poverty	crisis	7	2	TBD
medical_problem	high_blood_pressure	21	2	TBD
miscommunication	problem	39	4	TBD
illness	weakness	11	3	TBD
discussion	change	12	3	TBD
dehydration	dry_mouth	49	3	TBD
relationship	problem	52	14	TBD
complication	kidney_failure	61	7	TBD
bacteria	dental_plaque	40	3	TBD
bacteria	food_poisoning	217	12	TBD
drug	hallucination	111	13	TBD
heart_attack	stroke	56	12	TBD
struggle	death	8	2	TBD
substance_abuse	neglect	6	2	TBD
hormone	acne	128	6	TBD
pressure	problem	69	5	TBD
disease	hearing_loss	41	3	TBD
oxidative_damage	disease	44	6	TBD
anger	anxiety	31	10	TBD
deficiency	poor_nutrition	10	2	TBD
event	accident	73	6	TBD
poverty	crime	243	50	TBD
noise	change	7	2	TBD
contamination	failure	40	2	TBD
abortion	death	128	2	TBD
heavy_drinking	depression	9	3	TBD
bacterial_infection	inflammation	93	9	TBD
injury	infection	83	25	TBD
virus	cancer	637	89	TBD
folate_deficiency	depression	30	4	TBD
error	corruption	23	4	TBD
hypoxia	disease	10	3	TBD
lactic_acid	muscle_pain	9	3	TBD
bacteria	tartar	17	2	TBD
obesity	complication	111	7	TBD
disease	fever	94	8	TBD
seizure	damage	10	3	TBD
relationship	stress	42	4	TBD
muscle_stiffness	pain	9	2	TBD
money	war	10	2	TBD
bpa	cancer	32	3	TBD
anemia	weakness	57	6	TBD
change	problem	353	11	TBD
conflict	violence	96	6	TBD
disaster	damage	179	5	TBD
condition	poor_health	10	2	TBD
virus	disease	1772	95	TBD
negative_thought	depression	20	4	TBD
death	suffering	44	10	TBD
diet	cancer	43	4	TBD
depression	mental_illness	43	7	TBD
sunburn	damage	8	2	TBD
pressure	stress	64	13	TBD
disruption	disease	24	3	TBD
side_effect	birth_defect	14	3	TBD
friction	heat	639	4	TBD
landslide	damage	74	2	TBD
impact	fire	11	3	TBD
investment	growth	27	7	TBD
condition	pneumonia	25	2	TBD
illness	osteoporosis	19	2	TBD
fibromyalgia	sleep_disturbance	13	4	TBD
tension	muscle_pain	8	2	TBD
activity	death	67	3	TBD
poverty	terrorism	166	3	TBD
mutation	phenotype	56	2	TBD
contamination	illness	34	2	TBD
bacteria	inflammation	269	3	TBD
dieting	obesity	10	2	TBD
infection	damage	320	6	TBD
menstruation	hormonal_change	25	2	TBD
policy	problem	39	5	TBD
diabetes	nerve_damage	457	3	TBD
health_issue	problem	12	3	TBD
schizophrenia	delusion	21	2	TBD
infection	nerve_damage	7	2	TBD
diabetes	atherosclerosis	31	9	TBD
civil_war	death	51	10	TBD
impact	tsunami	10	3	TBD
failure	growth	7	2	TBD
depression	suicide	837	37	TBD
ignorance	sin	79	3	TBD
drug	death	614	5	TBD
pcos	weight_gain	36	3	TBD
side_effect	anxiety	18	3	TBD
high_insulin_level	insulin_resistance	36	8	TBD
lethargy	death	11	2	TBD
high_blood_sugar	complication	10	3	TBD
nausea	discomfort	49	3	TBD
disorder	mania	16	5	TBD
delay	injury	16	2	TBD
anemia	problem	67	9	TBD
success	promotion	6	2	TBD
asthma	bronchoconstriction	41	3	TBD
problem	infertility	200	15	TBD
greenhouse_gas	global_warming	438	39	TBD
weight_loss	problem	226	3	TBD
anxiety	high_blood_pressure	19	3	TBD
conflict	frustration	27	6	TBD
anxiety	sexual_dysfunction	15	5	TBD
change	feeling	10	3	TBD
complication	nerve_damage	11	2	TBD
anxiety	panic	15	4	TBD
back_pain	symptom	14	2	TBD
economic_growth	inflation	13	3	TBD
behavior	pain	54	18	TBD
emotional_pain	physical_pain	28	2	TBD
virus	allergy	14	2	TBD
osteopenia	osteoporosis	25	6	TBD
syndrome	symptom	42	12	TBD
emission	cancer	20	4	TBD
severe_pain	shock	6	2	TBD
disease	harm	30	2	TBD
imbalance	anxiety	88	5	TBD
co2	warming	379	3	TBD
damage	pain	113	9	TBD
environment	problem	26	2	TBD
event	disease	6	2	TBD
diabetes	high_blood_pressure	71	22	TBD
crisis	stress	15	4	TBD
blockage	illness	58	2	TBD
thought	emotion	45	4	TBD
disease	shock	15	2	TBD
bodily_injury	damage	31	2	TBD
condition	carpal_tunnel_syndrome	17	2	TBD
anxiety	burnout	17	4	TBD
dizziness	nausea	26	3	TBD
pregnancy	high_blood_pressure	65	2	TBD
diabetes	psychological_stress	28	3	TBD
search	arrest	6	2	TBD
defect	accident	174	21	TBD
chemical	problem	149	3	TBD
condition	heart_disease	86	16	TBD
sin	pain	106	5	TBD
ignorance	disease	35	4	TBD
infection	abnormality	12	2	TBD
menopause	hormonal_imbalance	46	7	TBD
cirrhosis	portal_hypertension	24	2	TBD
osteoporosis	fracture	396	11	TBD
therapy	side_effect	61	3	TBD
problem	instability	40	7	TBD
side_effect	dizziness	32	8	TBD
decision	problem	14	2	TBD
pregnancy	hormonal_change	291	16	TBD
aging_process	damage	20	5	TBD
love	obedience	15	4	TBD
diabetes	blood_sugar_level	16	5	TBD
hpv	genital_wart	292	4	TBD
side_effect	high_blood_pressure	6	2	TBD
chronic_pain	depression	131	16	TBD
rosacea	inflammation	26	3	TBD
infection	disorder	32	4	TBD
withdrawal	symptom	53	2	TBD
chemotherapy	cancer	33	9	TBD
health_problem	complication	14	2	TBD
drug	condition	248	28	TBD
sleep_disorder	depression	49	11	TBD
weakness	failure	28	2	TBD
fear	desperation	12	4	TBD
exercise	stress	48	4	TBD
hyponatremia	water_intoxication	13	4	TBD
illness	fever	120	15	TBD
pain	difficulty	84	3	TBD
hypothyroidism	obesity	15	5	TBD
abortion	problem	23	2	TBD
aging	damage	370	60	TBD
immune_system	disease	48	9	TBD
disease	anxiety	34	9	TBD
injury	cerebral_palsy	34	2	TBD
complication	serious_illness	38	4	TBD
germ	disease	331	82	TBD
disorder	pain	127	13	TBD
poverty	high_birth_rate	14	2	TBD
magnetic_field	sunspot	6	2	TBD
stroke	seizure	16	5	TBD
stroke	fall	13	3	TBD
damage	serious_problem	18	4	TBD
drug	weight_gain	190	4	TBD
heart_attack	death	1290	5	TBD
excess_weight	diabetes	26	2	TBD
sex	death	21	2	TBD
war	isolationism	7	2	TBD
bacteria	spoilage	34	2	TBD
inflammation	health_condition	19	4	TBD
blood_clot	complication	37	6	TBD
diabetes	heart_disease	303	15	TBD
virus	aid	3638	13	TBD
tension	pain	152	45	TBD
toothache	pain	60	10	TBD
fear	violence	68	18	TBD
allergy	asthma	236	29	TBD
shortage	problem	12	3	TBD
activity	problem	76	2	TBD
distortion	problem	12	2	TBD
video_game	violence	56	2	TBD
illness	vomiting	65	5	TBD
vandalism	damage	790	3	TBD
growth	increase	17	4	TBD
change	depression	44	12	TBD
depression	behavior	57	19	TBD
sleep_deprivation	depression	267	2	TBD
chemical_change_in_the_brain	depression	23	2	TBD
thunderstorm	hail	21	6	TBD
damage	ulcer	47	4	TBD
change	reduction	16	2	TBD
stress	pain	264	64	TBD
disruption	problem	36	2	TBD
sebum	acne	24	2	TBD
bruxism	dental_problem	9	2	TBD
storm	high_wind	94	5	TBD
menopause	anxiety	34	3	TBD
chemotherapy	side_effect	235	13	TBD
greenhouse_effect	global_warming	124	10	TBD
infection	damage_to_the_immune_system	9	2	TBD
hatred	war	24	7	TBD
communism	dictatorship	13	2	TBD
bacterium	ulcer	134	3	TBD
tobacco	cancer	402	2	TBD
defect	cancer	11	3	TBD
stress	irritable_bowel_syndrome	32	6	TBD
accident	disability	259	2	TBD
hpv	cervical_cancer	752	16	TBD
rheumatoid_arthritis	pain	957	27	TBD
drug	problem	585	9	TBD
gas	global_warming	36	3	TBD
accident	death	2828	9	TBD
situation	tension	21	6	TBD
problem	hair_loss	36	6	TBD
abuse	problem	76	21	TBD
sin	illness	102	3	TBD
dementia	symptom	49	6	TBD
condition	crash	16	2	TBD
stress	bad_habit	14	2	TBD
change	issue	29	6	TBD
obesity	hormone_imbalance	6	2	TBD
depression	ed	88	17	TBD
radiation	damage	886	2	TBD
emotion	depression	24	6	TBD
