Source	Target	Annotation
illness	fever	right
illness	suffering	right
high_blood_pressure	congestive_heart_failure	left
disease	ignorance	unknown
mental_illness	social_stigma	right
side_effect	problem	right
hypertension	cardiovascular_disease	right
ignorance	sin	right
earthquake	seismic_wave	right
degenerative_change	osteoarthritis	right
cancer	stem_cell	unknown
pain	disability	left
nightmare	anxiety	left
stress	physical_illness	unknown
depression	suicide	right
tumor	condition	unknown
anemia	cancer	left
pain	reaction	unknown
pimple	acne	left
odor	mold	left
discomfort	injury	left
cancer	mutation	left
problem	missing_teeth	left
virus	illness	right
depression	sleeplessness	left
dehydration	cramping	right
disease	nutritional_deficiency	left
ulcerative_colitis	inflammation	right
inflammation	bronchitis	left
poverty	oppression	right
food_poisoning	infection	unknown
problem	change	unknown
damage	infection	unknown
aggression	anger	unknown
increase	problem	unknown
problem	difference	left
exposure_to_asbestos	lung_cancer	right
extra_chromosome	down_syndrome	right
action	decision	unknown
disease	pneumonia	unknown
problem	childhood_obesity	left
surgery	wound	left
type_2_diabetes	hyperglycemia	right
death	infection	left
violence	alcoholism	left
resurrection	death	left
high_blood_pressure	water_retention	unknown
bacteria	gingivitis	right
lack_of_sleep	symptom	right
disability	discrimination	right
urethritis	infection	right
water	accident	unknown
inflation	problem	right
medical_problem	weight_gain	left
high_blood_pressure	health_problem	right
dementia	condition	unknown
disease	toxin	left
stroke	brain_damage	right
peace	war	unknown
landslide	loss	unknown
disease	paralysis	right
psychological_problem	symptom	right
mortality	disease	left
stuttering	stress	left
metabolic_syndrome	heart_disease	right
oxidative_damage	cancer	right
war	anger	left
iron_overload	hemochromatosis	right
condition	kidney_failure	unknown
aura	migraine	right
qt_prolongation	drug	unknown
fear	sin	unknown
higher_temperature	climate_change	left
feeling	thought	unknown
side_effect	chemotherapy	left
tooth_decay	plaque	left
pcos	weight_gain	right
side_effect	medication	left
sore_throat	bronchitis	left
cancer	emission	unknown
tension	war	right
motion_sickness	nausea	right
depression	chemical	left
situation	accident	right
erectile_dysfunction	stress	left
problem	drug_abuse	left
pain	sciatica	left
health_problem	complication	right
pain	side_effect	left
illness	death	right
vaccination	autism	unknown
condition	fluid_retention	unknown
impairment	injury	left
pelvic_inflammatory_disease	infection	left
alcohol	stress	right
high_blood_pressure	heart_attack	right
anxiety	side_effect	left
water_shortage	drought	right
problem	learning_disability	left
civil_war	revolution	right
