Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
conflict	crisis	18	1	right
event	controversy	10	2	unknown
problems	suffering	15	3	right
stress	complaints	8	1	right
atherosclerosis	strokes	110	1	right
success	personal_attributes	5	1	unknown
condition	tissue_damage	20	1	unrelated
passage	problems	8	1	unrelated
diabetes	deafness	4	1	right
illegal_behavior	problems	18	1	right
effects	depression	20	3	unrelated
tension	back_pain	9	1	right
liver_disease	cancer	11	2	right
obstructive_sleep_apnea	obstruction	3	1	unrelated
malnutrition	pneumonia	6	1	unknown
climate_change	extreme_weather	66	1	right
aging	cognitive_impairment	18	1	right
bronchiectasis	measles	3	1	unknown
events	disaster	29	1	unrelated
sunburn	damage_to_the_skin	3	1	right
credit_cards	charges	4	1	unknown
situation	lack_of_clarity	6	1	unknown
stress	heart_failure	14	1	right
industrial_injury	permanent_partial_disability	3	1	right
distraction	frustration	3	1	right
pollution	acid_rain	63	10	right
anger	vicious_cycle	3	1	unrelated
liver_failure	kidney_failure	6	1	right
genetic_mutations	birth_defects	4	1	right
global_warming	deaths	11	2	right
sin	guilt	324	3	right
love	war	5	1	unrelated
high_blood_pressure	diseases	56	11	right
events	failure	17	2	unrelated
chlamydia	neonatal_conjunctivitis	3	1	right
ebv_infection	infectious_mononucleosis	14	2	right
disease	white_blood_cells	16	1	unrelated
hydrocephalus	arnold-chiari_malformation	3	1	left
climate_change	earthquakes	33	1	unknown
breathing_techniques	yoga	3	1	unrelated
estrogen	health_problems	15	1	both
smoking	cancers	174	1	right
alcoholism	hepatitis	4	1	right
natural_disaster	accident	4	1	right
social_isolation	frustration	11	1	right
stroke	movement_disorders	14	1	right
problem	brain_damage	7	1	left
high_insulin_levels	weight_gain	5	1	right
fungus	cancer	29	2	unrelated
drug_use	deaths	11	1	right
fear	damage	6	1	unrelated
eruption	massive_debris_avalanche	12	2	right
noise_exposure	tinnitus	7	1	right
stress	allergies	33	5	unrelated
idolatry	immorality	7	1	right
depression	lethargy	18	2	right
toxic_substances	inflammation	8	2	right
hypercalcemia	bone_loss	3	1	left
amoeba	dysentery	5	1	unrelated
acid_reflux	damage	15	2	right
death	neurological_damage	12	2	left
learning	change	4	1	right
bacteria	decay	94	16	right
menstruation	pain	222	12	right
insulin_resistance	lipid_disorders	25	1	right
stress_response	hormone	4	1	right
new_deal	government_intervention	4	1	unkown
diabetes	serious_complications	161	2	right
ebv	cancer	11	1	right
incident	confrontation	4	1	right
disease	vulnerability	5	1	right
competition	war	24	1	right
aspartame	headaches	46	1	unrelated
allergy	dust_mites	20	5	left
exposure	health_risks	37	2	right
injuries	havoc	6	2	left
mental_health_issues	stigma	87	5	unknown
heart_chakra	color_green	6	2	unrelated
scandal	tragedy	4	1	right
sickness	distress	3	1	right
parasomnias	stress	5	1	left
viagra	hearing_loss	6	1	right
common_colds	infection	20	2	left
inflammatory_processes	atherosclerosis	4	1	left
disability	increased_mortality	3	1	right
safety_problems	accidents	5	1	right
obesity	incontinence	7	1	right
muscle_spasm	back_pain	20	6	right
atherosclerosis	pad	57	7	unrelated
delays	damages	22	1	right
death	rebirth	22	2	right
alcohol_use	behaviors	9	1	left
oxidative_stress	apoptosis	14	3	right
unemployment	tax_revenue	3	1	unknown
human_error	data_loss	36	2	right
problems	suspension	7	2	right
action	strikes	5	1	right
b12_deficiency	pernicious_anemia	18	1	left
election	crisis	5	1	right
interest	inflation	12	2	unrelated
