Source	Target	Weight_Source_Target	Comment
addiction	death	69	TBD
addiction	problem	143	TBD
addiction	depression	24	TBD
addiction	pain	36	TBD
addiction	homelessness	21	TBD
addiction	damage	31	TBD
addiction	social_problem	11	TBD
addiction	behavior	80	TBD
addiction	premature_death	24	TBD
addiction	negative_consequence	6	TBD
addiction	craving	15	TBD
addiction	withdrawal_symptom	13	TBD
addiction	stigma	132	TBD
addiction	harm	24	TBD
addiction	devastation	15	TBD
addiction	heartache	5	TBD
addiction	violent_behavior	4	TBD
addiction	legal_problem	2	TBD
addiction	further_damage	2	TBD
depression	suicide	837	TBD
depression	insomnia	637	TBD
depression	fatigue	178	TBD
depression	anxiety	498	TBD
depression	symptom	321	TBD
depression	problem	203	TBD
depression	death	85	TBD
depression	suicidal_thought	87	TBD
depression	weight_loss	50	TBD
depression	disability	409	TBD
depression	pain	171	TBD
depression	sleeplessness	42	TBD
depression	suicide_attempt	95	TBD
depression	sadness	40	TBD
depression	apathy	29	TBD
depression	sleep_problem	33	TBD
depression	headache	36	TBD
depression	physical_symptom	44	TBD
depression	cognitive_impairment	15	TBD
depression	health_problem	113	TBD
depression	lack_of_energy	19	TBD
depression	increased_risk	26	TBD
depression	ed	88	TBD
depression	impotence	19	TBD
depression	distress	29	TBD
depression	memory_loss	12	TBD
depression	sexual_dysfunction	25	TBD
depression	chronic_insomnia	27	TBD
depression	physical_pain	14	TBD
depression	lethargy	18	TBD
depression	hair_loss	18	TBD
depression	decreased_libido	7	TBD
depression	suicidal_tendency	13	TBD
depression	increased_mortality	18	TBD
depression	nervous_breakdown	21	TBD
depression	emotional_pain	23	TBD
depression	cognitive_decline	19	TBD
depression	hospitalization	19	TBD
depression	suffering	33	TBD
depression	mood_change	16	TBD
depression	psychosis	20	TBD
depression	misery	8	TBD
depression	increase	304	TBD
depression	feeling_of_sadness	32	TBD
depression	suicidal_behavior	15	TBD
depression	premature_ejaculation	51	TBD
depression	social_withdrawal	9	TBD
depression	relapse	14	TBD
depression	hardship	15	TBD
depression	memory_problem	8	TBD
depression	low_libido	15	TBD
depression	physical_ailment	9	TBD
depression	eating_disorder	38	TBD
depression	anhedonia	8	TBD
depression	nausea	15	TBD
